date,count,rain,dust,temp,holiday,user,week
2017-12-26,6003,0.0,30.944444444444446,-3.8,0.0,134,1
2017-12-27,5740,0.0,29.277777777777782,-6.9,0.0,111,2
2017-12-28,7073,0.0,48.33333333333334,-2.1,0.0,150,3
2017-12-29,8263,0.0,99.94444444444444,2.1,0.0,197,4
2017-12-30,4242,0.7,132.41666666666666,1.4,0.0,166,5
2017-12-31,3629,1.0,66.08333333333333,-0.3,0.0,201,6
2018-01-01,4950,0.0,44.171428571428564,-1.3,1.0,302,0
2018-01-02,7136,0.0,43.37837837837838,-1.8,0.0,246,1
2018-01-03,7156,0.0,36.89473684210526,-4.7,0.0,205,2
2018-01-04,7102,0.0,47.657894736842096,-4.7,0.0,169,3
2018-01-05,7705,0.0,60.23684210526316,-3.0,0.0,183,4
2018-01-06,5681,0.0,50.44736842105264,-2.8,0.0,192,5
2018-01-07,5220,0.0,57.47368421052632,-0.8,0.0,253,6
2018-01-08,6309,0.9,59.68421052631579,1.3,0.0,186,0
2018-01-09,5988,0.5,43.55263157894736,-4.2,0.0,147,1
2018-01-10,4476,0.3,34.6578947368421,-7.5,0.0,93,2
2018-01-11,4337,0.0,34.6578947368421,-11.1,0.0,76,3
2018-01-12,4401,0.0,26.342105263157894,-10.2,0.0,79,4
2018-01-13,3756,0.4,55.256410256410255,-4.4,0.0,89,5
2018-01-14,4675,0.0,71.1025641025641,0.6,0.0,235,6
2018-01-15,6993,0.2,71.69230769230771,4.7,0.0,195,0
2018-01-16,7421,0.0,115.94871794871794,3.5,0.0,202,1
2018-01-17,6990,0.0,115.28205128205127,4.5,0.0,205,2
2018-01-18,7054,0.0,90.48717948717949,2.1,0.0,179,3
2018-01-19,8329,0.0,62.17948717948718,1.0,0.0,201,4
2018-01-20,6148,0.0,103.74358974358972,2.2,0.0,253,5
2018-01-21,5574,0.0,65.92307692307692,0.4,0.0,266,6
2018-01-22,4929,3.3,50.07692307692307,0.2,0.0,146,0
2018-01-23,4263,0.0,25.538461538461537,-11.7,0.0,69,1
2018-01-24,3370,0.0,30.743589743589745,-14.2,0.0,64,2
2018-01-25,3307,0.0,25.025641025641022,-14.0,0.0,56,3
2018-01-26,3116,0.0,33.51282051282051,-14.8,0.0,42,4
2018-01-27,2833,0.0,46.92307692307693,-9.9,0.0,99,5
2018-01-28,3028,0.0,34.0,-6.3,0.0,120,6
2018-01-29,4425,0.0,47.282051282051285,-8.5,0.0,86,0
2018-01-30,3591,2.9,43.769230769230774,-5.3,0.0,79,1
2018-01-31,4104,0.0,42.487179487179496,-2.6,0.0,103,2
2018-02-01,5821,0.0,42.02564102564103,-4.0,0.0,104,3
2018-02-02,6557,0.0,57.17948717948718,-2.4,0.0,143,4
2018-02-03,3499,0.5,38.92307692307692,-7.3,0.0,118,5
2018-02-04,2642,0.0,33.641025641025635,-9.5,0.0,105,6
2018-02-05,4213,0.0,27.897435897435894,-9.4,0.0,89,0
2018-02-06,4257,0.0,32.58974358974359,-10.1,0.0,67,1
