가입일자,사용자코드,연령대코드,성별,가입 수
2020-01-10,회원-내국인,AGE_001,M,40
2020-01-10,회원-내국인,AGE_002,F,83
2020-01-10,회원-내국인,AGE_002,M,120
2020-01-10,회원-내국인,AGE_003,F,25
2020-01-10,회원-내국인,AGE_003,M,69
2020-01-10,회원-내국인,AGE_004,F,14
2020-01-10,회원-내국인,AGE_004,M,39
2020-01-10,회원-내국인,AGE_005,F,8
2020-01-10,회원-내국인,AGE_005,M,19
2020-01-10,회원-내국인,AGE_006,F,1
2020-01-10,회원-내국인,AGE_006,M,5
2020-01-10,회원-내국인,AGE_007,M,2
2020-01-11,회원-내국인,AGE_001,F,51
2020-01-11,회원-내국인,AGE_001,M,51
2020-01-11,회원-내국인,AGE_002,F,104
2020-01-11,회원-내국인,AGE_002,M,132
2020-01-11,회원-내국인,AGE_003,F,39
2020-01-11,회원-내국인,AGE_003,M,69
2020-01-11,회원-내국인,AGE_004,F,29
2020-01-11,회원-내국인,AGE_004,M,42
2020-01-11,회원-내국인,AGE_005,F,10
2020-01-11,회원-내국인,AGE_005,M,28
2020-01-11,회원-내국인,AGE_006,F,2
2020-01-11,회원-내국인,AGE_006,M,5
2020-01-11,회원-내국인,AGE_007,M,3
2020-01-12,회원-내국인,AGE_001,F,30
2020-01-12,회원-내국인,AGE_001,M,41
2020-01-12,회원-내국인,AGE_002,F,102
2020-01-12,회원-내국인,AGE_002,M,150
2020-01-12,회원-내국인,AGE_003,F,39
2020-01-12,회원-내국인,AGE_003,M,63
2020-01-12,회원-내국인,AGE_004,F,25
2020-01-12,회원-내국인,AGE_004,M,49
2020-01-12,회원-내국인,AGE_005,F,11
2020-01-12,회원-내국인,AGE_005,M,31
2020-01-12,회원-내국인,AGE_006,F,2
2020-01-12,회원-내국인,AGE_006,M,4
2020-01-13,회원-내국인,AGE_001,F,31
2020-01-13,회원-내국인,AGE_001,M,41
2020-01-13,회원-내국인,AGE_002,F,87
2020-01-13,회원-내국인,AGE_002,M,121
2020-01-13,회원-내국인,AGE_003,F,30
2020-01-13,회원-내국인,AGE_003,M,43
2020-01-13,회원-내국인,AGE_004,F,24
2020-01-13,회원-내국인,AGE_004,M,37
2020-01-13,회원-내국인,AGE_005,F,10
2020-01-13,회원-내국인,AGE_005,M,28
2020-01-13,회원-내국인,AGE_006,F,2
2020-01-13,회원-내국인,AGE_006,M,7
2020-01-13,회원-내국인,AGE_007,F,2
2020-01-14,회원-내국인,AGE_001,F,40
2020-01-14,회원-내국인,AGE_001,M,36
2020-01-14,회원-내국인,AGE_002,F,73
2020-01-14,회원-내국인,AGE_002,M,96
2020-01-14,회원-내국인,AGE_003,F,29
2020-01-14,회원-내국인,AGE_003,M,50
2020-01-14,회원-내국인,AGE_004,F,15
2020-01-14,회원-내국인,AGE_004,M,37
2020-01-14,회원-내국인,AGE_005,F,12
2020-01-14,회원-내국인,AGE_005,M,16
2020-01-14,회원-내국인,AGE_006,F,2
2020-01-14,회원-내국인,AGE_006,M,3
